id,college,state,district
3745,"Rajdhani College of Engineering and Management  RCEM), Bhubaneswar   ",Odisha,Khordha
3746,"Rayagada Institute of Technology And Management  RITAM), Rayagada   ",Odisha,Rayagada
3747,"Regional College of Management  RCM), Bhubaneswar   ",Odisha,Khordha
3748,"RJ School of Mgmt. Studies  RJSMS), Balasore   ",Odisha,Baleshwar
3749,"Roland Institute of Pharmaceutical Sciences  RIPS), Berhampur   ",Odisha,Ganjam
3750,"Roland Institute of Technology  RIT), Berhampur   ",Odisha,Ganjam
3751,"Rourkela Institute of Management Studies  RIMS), Rourkela   ",Odisha,Sundargarh
3752,"Rourkela Institute of Technology  RIT), Rourkela   ",Odisha,Sundargarh
3753,"Royal College of Pharmacy and Health Sciences  RCPHS), Berhampur   ",Odisha,Ganjam
3754,"Samanta Chandrasekhar Institute of Technology and Management  SCITM), Semiliguda   ",Odisha,Koraput
3755,"Sanjay Memorial Institute of Technology  SMIT), Berhampur   ",Odisha,Ganjam
3756,"Saraswat Institute of Management  SIM), Bhubaneswar   ",Odisha,Khordha
3757,"Satyananda Institute of Management and Information Technology  SIMIT), Cuttack   ",Odisha,Khordha
3758,"Satyasai Engineering College  SEC), Balasore   ",Odisha,Baleshwar
3759,"Seemanta Engineering College  SEC), Mayurbhanj   ",Odisha,Mayurbhanj
3760,"Seemanta Institute of Pharmaceutical Sciences  SIPS), Jharpokharia, Mayurbhanj   ",Odisha,Mayurbhanj
3761,"Shibani Institute of Technical Education  SITE), Bhubaneswar   ",Odisha,Khordha
3762,"Silicon Institute of Technology  SIT), Bhubaneswar   ",Odisha,Khordha
3763,"Silicon Institute of Technology  SIT), Sambalpur   ",Odisha,Sambalpur
3764,"SMIT, PG Centre for Management Studies, Brahmapur   ",Odisha,Ganjam
3765,"Sophitorium Engineering College  SEC), Khurda   ",Odisha,Khordha
3766,"Spintronic Technology and Advanced Research  STAR), Taraboi, Bhubaneswar   ",Odisha,Khordha
3767,"Sri Jayadev College of Pharmaceutical Sciences  SJCPS), Bhubaneswar   ",Odisha,Khordha
3768,"SRINIX College of Engineering  SCE), Balasore   ",Odisha,Baleshwar
3769,"Srusti Academy of Management  SAM), Bhubaneswar   ",Odisha,Khordha
3770,"SUBAS Institute of Technology  SIT), Barang, Bhubaneswar   ",Odisha,Khordha
3771,"Sudhananda Engineerng and Research Centre  SERC), Bhubaneswar   ",Odisha,Cuttack
3772,"Sudhananda School of Management and Computer Science  SSMCS), Bhubaneswar   ",Odisha,Cuttack
3773,"Sundergarh Engineering College  SEC), Sundergarh   ",Odisha,Sundargarh
3774,"Synergy Institute of Engineering and Technology  SIET), Dhenkanal   ",Odisha,Dhenkanal
3775,"Synergy Institute of Technology  SIT), Pahala, Bhubaneswar   ",Odisha,Khordha
3776,"Templecity Institute of Technology and Engineering  TITE), Khurda   ",Odisha,Khordha
3777,"The Pharmaceutical College  TPC), Barapali   ",Odisha,Bargarh
3778,"The Techno School  TTS), Bhubaneswar   ",Odisha,Khordha
3779,Tr ,Odisha,Khordha
3780,Tr ,Odisha,Khordha
3781,"United School of Business Management  USBM), Bhubaneswar   ",Odisha,Khordha
3782,"Vedang Institute of Technology  VIT), Khurda, Bhubaneswar   ",Odisha,Khordha
3783,"Vignan Institute of Technology and Management  VITAM), Brahmapur   ",Odisha,Ganjam
3784,"Vijayanjali Institute of Technology  VIT), Balasore   ",Odisha,Baleshwar
3785,"Vikash College of Engineering for Women  VCEW), Bargarh   ",Odisha,Bargarh
3786,"VITS Engineering College, Khurda   ",Odisha,Khordha
3787,"Vivekananda Institute of Technology  VIVTECH), Chhatabar, Bhubaneswar   ",Odisha,Khordha
3788,"Agrasen Girls College, Korba   ",Chhatisgarh,Korba
3789,"Arts/Science College, Baloda   ",Chhatisgarh,Janjgir - Champa
3790,"Batmul Aashram College, Salheona   ",Chhatisgarh,Raigarh
3791,"Bisahudas Mahant College, Pali   ",Chhatisgarh,Korba
3792,"B L T COLLEGE, RATANPUR   ",Chhatisgarh,Bilaspur
3793,Chaitanya Science/Arts College Pamgarh   ,Chhatisgarh,Janjgir - Champa
3794,"C.M.D. College, Bilaspur   ",Chhatisgarh,Bilaspur
3795,College of Information Tech. & Applied Social Science Bilaspur   ,Chhatisgarh,Bilaspur
3796,"C.P.M. Arts/Science College, Sarangarh   ",Chhatisgarh,Raigarh
3797,"D.L.S. College, Bilaspur   ",Chhatisgarh,Bilaspur
3798,"D.P. Vipra College, Bilaspur   ",Chhatisgarh,Bilaspur
3799,"D.P. Vipra College of Education, Bilaspur   ",Chhatisgarh,Bilaspur
3800,"D.P. Vipra Law College, Bilaspur   ",Chhatisgarh,Bilaspur
3801,"Dr. Bhanvar Singh Porte Govt. College, Pendra  Bilaspur)   ",Chhatisgarh,Bilaspur
3802,"Dr. B.S. Porte, Adivasi CollegeMurabazar   ",Chhatisgarh,Raigarh
3803,"Dr. B.S. Porte Arts, Science and Commerce College, Marwahi   ",Chhatisgarh,Bilaspur
3804,"Girls Arts/Comm.College, Kharsia   ",Chhatisgarh,Raigarh
3805,"GOVERNMENT COLLEGE, KOTRI   ",Chhatisgarh,Bilaspur
3806,"Govt. Agrasen College, Belha  Bilaspur)   ",Chhatisgarh,Bilaspur
3807,"Govt.Art., Sc. & Comm. College, Dharamjaigarh, Distt.-Raigarh   ",Chhatisgarh,Raigarh
3808,"Govt. Art., Sc. & Comm. College, Marwahi, Distt-Bilaspur   ",Chhatisgarh,Bilaspur
3809,"Govt. Bilasa Girls PG College, Bilaspur   ",Chhatisgarh,Bilaspur
3810,"Govt. College 97 Karttala,Korba   ",Chhatisgarh,Korba
3811,"Govt College, Bhaisma, Korba   ",Chhatisgarh,Korba
3812,"Govt. College, Dabhara   ",Chhatisgarh,Janjgir - Champa
3813,"Govt. College Dipika,Korba   ",Chhatisgarh,Korba
3814,"Govt. College, Gharghoda, Raigarh   ",Chhatisgarh,Raigarh
3815,"Govt. College hasoud, Janjgir   ",Chhatisgarh,Janjgir - Champa
3816,Govt. College Malkharoda   ,Chhatisgarh,Janjgir - Champa
3817,"Govt. College of Education, Bilaspur   ",Chhatisgarh,Bilaspur
3818,"Govt. College, Tamnar, Raigarh   ",Chhatisgarh,Raigarh
3819,"Govt Dr. J.P.Mishra Science College, Mungeli   ",Chhatisgarh,Bilaspur
3820,"Govt.Enng. Vishweshvaraiya College, Korba   ",Chhatisgarh,Korba
3821,"Govt. E. Raghavendra Rao Science P.G.  Auto) College, Bilaspur   ",Chhatisgarh,Bilaspur
3822,Govt. Girls Training College Pendra   ,Chhatisgarh,Bilaspur
3823,"Govt. Indrajit Singh College, Akaltara   ",Chhatisgarh,Janjgir - Champa
3824,Govt.Jamuna Prasad Varma PG Arts & Commerce College Bilaspur   ,Chhatisgarh,Bilaspur
3825,"Govt. J.M.P. College, Takhatpur   ",Chhatisgarh,Bilaspur
3826,"Govt. Kanti Kumar Bhartiya College, Sakti, Dist.- Janjgir- Champa   ",Chhatisgarh,Janjgir - Champa
3827,"Govt. Laxmaneshwar College, Kharod   ",Chhatisgarh,Janjgir - Champa
3828,"Govt.Lochan Prasad Pandey College, Sarangarh   ",Chhatisgarh,Raigarh
3829,"Govt.Madan Lal Shukla College, Seepat  Bilaspur)   ",Chhatisgarh,Bilaspur
3830,"Govt. Mahamaya College, Ratanpur   ",Chhatisgarh,Bilaspur
3831,"Govt.Mata Sabari Naveen Girls College, Bilaspur   ",Chhatisgarh,Bilaspur
3832,"Govt.Minimata Girls Arts/Commerce College, Korba   ",Chhatisgarh,Korba
3833,"Govt M.M.R. College, Chanpa   ",Chhatisgarh,Janjgir - Champa
3834,"Govt. Mukut Dhar Pandey College, Katghora   ",Chhatisgarh,Korba
3835,"Govt. Navin College Balauda, Janjgir   ",Chhatisgarh,Janjgir - Champa
3836,"Govt. Navin College, Jaijaipur   ",Chhatisgarh,Janjgir - Champa
3837,"Govt. Niranjan Keshrawani Arts & Commerce College, Kota   ",Chhatisgarh,Bilaspur
3838,Govt. Pataleshwer College Masturi   ,Chhatisgarh,Bilaspur
3839,"Govt.P.D. College, Raigarh   ",Chhatisgarh,Raigarh
3840,"Govt.Pt. Madhav Rao Sapre Girls College, Pendra Road   ",Chhatisgarh,Bilaspur
3841,"Govt. Rajiv Ghandi College, Lormi   ",Chhatisgarh,Bilaspur
3842,Govt.Sant Gahira Guru Rameshwar College Lailunga   ,Chhatisgarh,Raigarh
3843,"Govt. T.C. L. College, Jangjir   ",Chhatisgarh,Janjgir - Champa
3844,"Govt.Virangna Avanti Bai Lodhi College, Patharia   ",Chhatisgarh,Bilaspur
3845,Gramya Bharati V ,Chhatisgarh,Korba
3846,G.R.D. College Pamgarh   ,Chhatisgarh,Janjgir - Champa
3847,"G.T.B.College, Nehru Nagar, Bilaspur   ",Chhatisgarh,Bilaspur
3848,"Gyandip Education College, Janjgir   ",Chhatisgarh,Janjgir - Champa
3849,"Gyanoday Education College, Janjgir   ",Chhatisgarh,Janjgir - Champa
3850,"Indira Gandhi Arts /Science College, Rahod   ",Chhatisgarh,Janjgir - Champa
3851,"Indira Gandhi Govt. College, Pandariya   ",Chhatisgarh,Bilaspur
3852,"Jagrani Devi Degree Collage, Baradwar   ",Chhatisgarh,Janjgir - Champa
3853,Jai Burdhadev College Katghora   ,Chhatisgarh,Korba
3854,"J.L.N. College, Sakti   ",Chhatisgarh,Janjgir - Champa
3855,"Jyoti Bhushan Pratap Singh Law College, Korba   ",Chhatisgarh,Korba
3856,Kirodimal .Govt. College Raigarh   ,Chhatisgarh,Raigarh
3857,K.M.T. Govt. Girls College Raigarh   ,Chhatisgarh,Raigarh
3858,"K. N. College, Korba   ",Chhatisgarh,Korba
3859,"Konark College of Edu. Khokhasa, Janjgir   ",Chhatisgarh,Janjgir - Champa
3860,"Korba Computer College, Korba  C.G.)   ",Chhatisgarh,Korba
3861,Koushalendra Rao Law College   ,Chhatisgarh,Bilaspur
3862,"Lal Bahadur Shastri Arts/Commers College, Baloda   ",Chhatisgarh,Janjgir - Champa
3863,"Lal Bahadur Shastri Edu. College, Balauda   ",Chhatisgarh,Janjgir - Champa
3864,"Mahamaya Excellancy College, Bilaspur   ",Chhatisgarh,Bilaspur
3865,"Ma Mangala College, Raigarh   ",Chhatisgarh,Raigarh
3866,"Mamatamai Minimata Sc. College, Lormi, Bilaspur   ",Chhatisgarh,Bilaspur
3867,"Mata Karma Arts/Commerce College, Kusmunda, Korba   ",Chhatisgarh,Korba
3868,"Maulana Azad College of Education, Bilaspur   ",Chhatisgarh,Bilaspur
3869,"Meduka Krishi Shikshan Samiti, Meduka  Pendra Road)   ",Chhatisgarh,Bilaspur
3870,"M.G.Govt.Art/Sc.College,Kharsia, Raigarh.   ",Chhatisgarh,Raigarh
3871,"Modern College of Management & Information Technology, Korba   ",Chhatisgarh,Korba
3872,"Nalini Prabha Dev Prasad Roy, College Jorapara, Bilaspur   ",Chhatisgarh,Bilaspur
3873,"National Science & Commerce College, Kharsiya   ",Chhatisgarh,Raigarh
3874,"Naveen Govt. Jajjlwa dev Girls College, Janjgir   ",Chhatisgarh,Janjgir - Champa
3875,"Naveen Privet College, Gharghoda   ",Chhatisgarh,Raigarh
3876,"Naveen Pvt. Kalindri Devi Tilak Ramchandra Arts/Science,College, Salni   ",Chhatisgarh,Janjgir - Champa
3877,Naveen Pvt. S.D. College Navagarh   ,Chhatisgarh,Janjgir - Champa
3878,Om Maya Sundram CollegeBrindavan Chhal   ,Chhatisgarh,Raigarh
3879,"P.N.S. College, Nehrunagar Bilaspur   ",Chhatisgarh,Bilaspur
3880,"Pt. Harishankar Education College, Jnajgir   ",Chhatisgarh,Janjgir - Champa
3881,"Pt. Jawaharlal Nehru College, Nawagarh   ",Chhatisgarh,Janjgir - Champa
3882,"Purwanchal College,Sariya-Raigarh   ",Chhatisgarh,Raigarh
3883,"Rahod Education Society, Rahod   ",Chhatisgarh,Janjgir - Champa
3884,"Raigarh City College, Raigarh   ",Chhatisgarh,Raigarh
3885,"Rajiv Gandhi Arts/Commerce College, Sargaon   ",Chhatisgarh,Bilaspur
3886,"Rambai Kanhaiyalal Sahu, Arts College, Hasawad   ",Chhatisgarh,Janjgir - Champa
3887,Sant. Guru Ghas ,Chhatisgarh,Bilaspur
3888,SANT GURU GHAS ,Chhatisgarh,Bilaspur
3889,Sant Shiromani Guru Ghas ,Chhatisgarh,Janjgir - Champa
3890,"S.B.K.P.Law College, Raigarh   ",Chhatisgarh,Raigarh
3891,"SBT College, Bilaspur   ",Chhatisgarh,Bilaspur
3892,"Seth Ramjivan Lal Agrawal, Arts/Sc. College, Dharmjay Garh   ",Chhatisgarh,Raigarh
3893,"Seth Surajmal Jaipuriya College, Bamneedih   ",Chhatisgarh,Janjgir - Champa
3894,"Shanti Niketan College, Bilaspur   ",Chhatisgarh,Bilaspur
3895,"Shri Mahant Laldas Arts/Science College, Shivrinarayana   ",Chhatisgarh,Janjgir - Champa
3896,"Shri Mahant Laldas Education College,Shivarinarayan   ",Chhatisgarh,Janjgir - Champa
3897,"Shri Sandeepni Vigyan Sansthan , College, Rahod   ",Chhatisgarh,Janjgir - Champa
3898,Shri S ,Chhatisgarh,Raigarh
3899,Shri S ,Chhatisgarh,Bilaspur
3900,Shubham Shikshan Mahav ,Chhatisgarh,Bilaspur
3901,"S.N.G. College, Mungeli  Bilaspur)   ",Chhatisgarh,Bilaspur
3902,"Sukhnandan College, Mungeli   ",Chhatisgarh,Bilaspur
3903,V ,Chhatisgarh,Bilaspur
3904,BIT Extension Center Allahabad   ,Uttar Pradesh,Allahabad
3905,BIT Extension Center Deoghar   ,Jharkhand,Deoghar
3906,"BIT Extension Center, Jaipur   ",Rajasthan,Jaipur
3907,"BIT Extension Center, Kolkata   ",West Bengal,Kolkata
3908,"BIT Extension Center, Lalpur   ",Jharkhand,Ranchi
3909,"BIT Extension Center, No ",Uttar Pradesh,Gautam Buddha Nagar
3910,"BIT Extension Center,Patna   ",Bihar,Patna
3911,Shri B. M. Patil Medical College & Research Centre   ,Karnataka,Bijapur
3912,"Abhinav Pragya College, Nivada   ",Uttar Pradesh,Hamirpur
3913,"Abhinav Pragya College, Rath   ",Uttar Pradesh,Hamirpur
3914,"Abhinav Pragya College, Sarila   ",Uttar Pradesh,Hamirpur
3915,Agrasen College   ,Uttar Pradesh,Jhansi
3916,Arya Kanya College   ,Uttar Pradesh,Jhansi
3917,Atarra College   ,Uttar Pradesh,Banda
3918,Baba Dhyan ,Uttar Pradesh,Hamirpur
3919,"Babu Rameshwar Singh College, kharila   ",Uttar Pradesh,Mahoba
3920,"Balaji Maharaj College, Kaptiha Kalan   ",Uttar Pradesh,Banda
3921,Bhagwandeen Singh Patel College   ,Uttar Pradesh,Chitrakoot
3922,"Bipin Behari College,   ",Uttar Pradesh,Jhansi
3923,Brahmanand College   ,Uttar Pradesh,Hamirpur
3924,BRAJKISHOR VISHNU KUMAR MAHAV ,Uttar Pradesh,Jalaun
3925,Brijkishore Vishnukumar College   ,Uttar Pradesh,Jalaun
3926,Bundelkhand College   ,Uttar Pradesh,Jhansi
3927,Bundelkhand Law College   ,Uttar Pradesh,Jalaun
3928,BUNDELKHAND V ,Uttar Pradesh,Jalaun
3929,Chandra Shekhar Azad Institute of Science &Engg.   ,Uttar Pradesh,Jhansi
3930,Chhatrapati Sahuji Girls College   ,Uttar Pradesh,Chitrakoot
3931,Chhatrapati Sahuji Maharaj College   ,Uttar Pradesh,Chitrakoot
3932,Chhatrapati Shivaji MSD College   ,Uttar Pradesh,Lalitpur
3933,Ch. Khacherelal Girls College   ,Uttar Pradesh,Jalaun
3934,D D Singh Bisen College   ,Uttar Pradesh,Jhansi
3935,Deendayal Upadhyay Govt. College   ,Uttar Pradesh,Lalitpur
3936,Deepchandra Chaudhari College   ,Uttar Pradesh,Lalitpur
3937,Dr Bhimrao Ambedkar College   ,Uttar Pradesh,Banda
3938,Dr B R Ambedkar Law College   ,Uttar Pradesh,Banda
3939,Dr. Ram Manohar Lohia College   ,Uttar Pradesh,Chitrakoot
3940,Dr Ram Manohar Lohia Girls College   ,Uttar Pradesh,Jhansi
3941,Dr R P Richharia College   ,Uttar Pradesh,Jhansi
3942,D.V. College   ,Uttar Pradesh,Jalaun
3943,Eklavya College   ,Uttar Pradesh,Banda
3944,Gandhi College   ,Uttar Pradesh,Jalaun
3945,Gangaram Bankelal College   ,Uttar Pradesh,Jalaun
3946,Ghanaram Niranjan College   ,Uttar Pradesh,Jalaun
3947,Goswami Tuls ,Uttar Pradesh,Chitrakoot
3948,Govt College   ,Uttar Pradesh,Chitrakoot
3949,"Govt. College, Charkhari   ",Uttar Pradesh,Hamirpur
3950,"Govt. College, Modaha   ",Uttar Pradesh,Hamirpur
3951,Govt. College Samthar   ,Uttar Pradesh,Jhansi
3952,"Govt. Degree College, Talbehat   ",Uttar Pradesh,Lalitpur
3953,Govt. Girls College   ,Uttar Pradesh,Hamirpur
3954,Govt. Girls College   ,Uttar Pradesh,Jhansi
3955,Govt. Girls College   ,Uttar Pradesh,Banda
3956,Govt. P G College   ,Uttar Pradesh,Hamirpur
3957,Gulab Rani College   ,Uttar Pradesh,Chitrakoot
3958,Guru Ropan Shikshan Sansthan   ,Uttar Pradesh,Jalaun
3959,Hari Singh Arya College   ,Uttar Pradesh,Jhansi
3960,Hiranand College   ,Uttar Pradesh,Hamirpur
3961,Jagdish Singh Yadav Nand Kishore Modi College   ,Uttar Pradesh,Jhansi
3962,Jai Bundelkhand College   ,Uttar Pradesh,Mahoba
3963,Jamuna Devi Naresh Chandra College   ,Uttar Pradesh,Jalaun
3964,Jila Parishad Krishi College   ,Uttar Pradesh,Banda
3965,Kailashi Devi Shravan Kumari College   ,Uttar Pradesh,Jalaun
3966,Kalpi College   ,Uttar Pradesh,Jalaun
3967,Kalyan Singh Institute of Education   ,Uttar Pradesh,Jalaun
3968,Kashi Prasad College   ,Uttar Pradesh,Jalaun
3969,Kedarnath Jagannath College   ,Uttar Pradesh,Chitrakoot
3970,Kedarnath Ramswarup College   ,Uttar Pradesh,Chitrakoot
3971,Keshavdev Tiwari College   ,Uttar Pradesh,Jalaun
3972,Kishori Lal Bachhalal Yadav College   ,Uttar Pradesh,Jalaun
3973,Krishna Vallabh Shravan Kumar College   ,Uttar Pradesh,Jalaun
3974,"Lakshmicharan Hooblal College,Karsan   ",Uttar Pradesh,Jalaun
3975,Lakshm ,Uttar Pradesh,Jalaun
3976,Late Bahadur Singh College   ,Uttar Pradesh,Jalaun
3977,Late Balaji Maharaj College   ,Uttar Pradesh,Banda
3978,Late Gayaprasad College   ,Uttar Pradesh,Banda
3979,Late Gaya Prasad College   ,Uttar Pradesh,Chitrakoot
3980,Late Kamaruddin Memorial Degree College   ,Uttar Pradesh,Banda
3981,Late Kamta Prasad Shastri College   ,Uttar Pradesh,Banda
3982,Late Prahlad Singh Memorial College   ,Uttar Pradesh,Banda
3983,Late Shri Gafoor Khan College   ,Uttar Pradesh,Jalaun
3984,"Late Sunderlal Shivhare Degree College, Makrav   ",Uttar Pradesh,Hamirpur
3985,Late Wali Mohd Islamia Degree College   ,Uttar Pradesh,Jalaun
3986,Maa Chandrika Girls College   ,Uttar Pradesh,Mahoba
3987,Madhu Tandon Girls College   ,Uttar Pradesh,Jalaun
3988,Mahamati Prannath College   ,Uttar Pradesh,Chitrakoot
3989,Maharashi Purushottamdas Tandon College   ,Uttar Pradesh,Lalitpur
3990,Maharshi Gautam Budh College   ,Uttar Pradesh,Banda
3991,Mahendra Singh Surendra Singh Dayashankar Memorial College   ,Uttar Pradesh,Jalaun
3992,Mananiya Kashiram Degree College   ,Uttar Pradesh,Jhansi
3993,M.L.B. College   ,Uttar Pradesh,Jhansi
3994,Motibai Rajaram College   ,Uttar Pradesh,Jhansi
3995,M.P. College   ,Uttar Pradesh,Jalaun
3996,Naveen Kanya College   ,Uttar Pradesh,Chitrakoot
3997,Nehru College   ,Uttar Pradesh,Lalitpur
3998,Pehalwan Gurudeen Girls College   ,Uttar Pradesh,Lalitpur
3999,Phundisingh Lona Govt College   ,Uttar Pradesh,Jalaun
4000,Pt. Dhanaram Hariram College   ,Uttar Pradesh,Jalaun
4001,Pt. Gangadhar Pandey Shravan Kumar College   ,Uttar Pradesh,Jalaun
4002,Pt. J L N College   ,Uttar Pradesh,Banda
4003,Pt. Kedarnath Rajaram College   ,Uttar Pradesh,Banda
4004,Pt. Parashuram Dwivedi College   ,Uttar Pradesh,Jalaun
4005,Pt. Rajaram Upadhyay College   ,Uttar Pradesh,Chitrakoot
4006,Pt. Vasudev Tiwari College of Education   ,Uttar Pradesh,Jhansi
4007,Pt. Vasudev Tiwari Girls College   ,Uttar Pradesh,Jhansi
4008,Raghuveer Singh Govt. College   ,Uttar Pradesh,Lalitpur
4009,Rajadevi Degree College   ,Uttar Pradesh,Banda
4010,Rajiv Gandhi DAV College   ,Uttar Pradesh,Banda
4011,Rajjandevi Hemant Kumari College   ,Uttar Pradesh,Jalaun
4012,Ramanath Vimladevi Khair Institute of Education   ,Uttar Pradesh,Jhansi
4013,Ramrati Naubda Memorial Girls College   ,Uttar Pradesh,Hamirpur
4014,Ramshri College   ,Uttar Pradesh,Mahoba
4015,Ramswarup Yadav College   ,Uttar Pradesh,Jhansi
4016,Rashtrakavi Mathilisharan Gupt College   ,Uttar Pradesh,Jhansi
4017,Roshan Singh Badam Singh Gayatri College   ,Uttar Pradesh,Mahoba
4018,R S MAHAV ,Uttar Pradesh,Jalaun
4019,Sain College of Education   ,Uttar Pradesh,Mahoba
4020,Sain Law College   ,Uttar Pradesh,Mahoba
4021,Sanatan Dharm Girls College   ,Uttar Pradesh,Jalaun
4022,Seth Virendra Kumar College   ,Uttar Pradesh,Jalaun
4023,Shah ,Uttar Pradesh,Jalaun
4024,Shah ,Uttar Pradesh,Jalaun
4025,Sharda Devi Degree College   ,Uttar Pradesh,Jhansi
4026,Shatabdi Centre for Education Excellence College   ,Uttar Pradesh,Jalaun
4027,Shivdarshan Mahav ,Uttar Pradesh,Banda
4028,Shri Guru Hari Kishan College   ,Uttar Pradesh,Jhansi
4029,Shri Kishore Goswami College   ,Uttar Pradesh,Mahoba
4030,Shri Radha Krishna Girls College   ,Uttar Pradesh,Jalaun
4031,Shri Ramdham College   ,Uttar Pradesh,Jhansi
4032,Shri Ramkrishna College   ,Uttar Pradesh,Hamirpur
4033,Shri Shankar Bhagwan Institute of Technology   ,Uttar Pradesh,Chitrakoot
4034,Shri Sukdev Singh Lavkush College   ,Uttar Pradesh,Banda
4035,Shri Swami Nagaji Girls College   ,Uttar Pradesh,Hamirpur
4036,Sitaram Samarpan Mahav ,Uttar Pradesh,Banda
4037,Smt Amrit Kunwar College   ,Uttar Pradesh,Jalaun
4038,Smt Ganeshibai Soni Science College   ,Uttar Pradesh,Jhansi
4039,Smt Jagrani Ochhelal Bodh Girls College   ,Uttar Pradesh,Jalaun
4040,Smt Omvati College   ,Uttar Pradesh,Jalaun
4041,S R College   ,Uttar Pradesh,Jalaun
4042,S R College of Professional Studies   ,Uttar Pradesh,Jhansi
4043,Suraj Gyan College   ,Uttar Pradesh,Jalaun
4044,Swami Krishnanand College   ,Uttar Pradesh,Jalaun
4045,Swami Vivekanand College   ,Uttar Pradesh,Jhansi
4046,SW GAPHOOR KHAN MAHAV ,Uttar Pradesh,Jalaun
4047,SW PRAHLAD SINGH SMARAK MAHAV ,Uttar Pradesh,Banda
4048,Tikaram Yadav Memorial College   ,Uttar Pradesh,Jhansi
4049,Trivedi Girls Degree College   ,Uttar Pradesh,Hamirpur
4050,Vansh ,Uttar Pradesh,Jalaun
4051,Veer Bhoomi Govt. Degree College   ,Uttar Pradesh,Mahoba
4052,Village Girls College   ,Uttar Pradesh,Jhansi
4053,Yug Chetna College   ,Uttar Pradesh,Hamirpur
4054,Abhedananda Mahav ,West Bengal,Birbhum
4055,ABS Academy   ,West Bengal,Barddhaman
4056,ACC Jain College of Education   ,West Bengal,Birbhum
4057,Aghore Kamini Prakash Chandra Mahav ,West Bengal,Hugli
4058,A M E X   ,West Bengal,Barddhaman
4059,Arambag Girls' College   ,West Bengal,Hugli
4060,Asansol Girls' College   ,West Bengal,Barddhaman
4061,Asleha Girls' College   ,West Bengal,Birbhum
4062,Athena B. Ed. College   ,West Bengal,Bankura
4063,"Babu Jagjivan Ram Memorial College, Chopa   ",West Bengal,Hugli
4064,Balagarh B.K. Mahav ,West Bengal,Hugli
4065,Bankura Christian College   ,West Bengal,Bankura
4066,Bankura College of Education   ,West Bengal,Bankura
4067,Bankura Sammilani College   ,West Bengal,Bankura
4068,Bankura Zilla Saradamani Mahila Mahav ,West Bengal,Bankura
4069,Banwarilal Bhalotia College   ,West Bengal,Barddhaman
4070,Barjora College   ,West Bengal,Bankura
4071,Bejoy Narayan Mahav ,West Bengal,Hugli
4072,B ,West Bengal,Barddhaman
4073,Bijoy Pal Memorial B. Ed. College   ,West Bengal,Barddhaman
4074,"Binita Mahanta College of Education, Bhonpur   ",West Bengal,Hugli
4075,Birbhum Mahav ,West Bengal,Birbhum
4076,Birsha Munda Memorial College   ,West Bengal,Bankura
4077,Bolpur College   ,West Bengal,Birbhum
4078,Burdwan Institute of Management & Computer Science   ,West Bengal,Barddhaman
4079,Burdwan Raj College   ,West Bengal,Barddhaman
4080,Chandernagore Government College   ,West Bengal,Hugli
4081,Chandernagore Institute of Management & Technology   ,West Bengal,Hugli
4082,Chand ,West Bengal,Birbhum
4083,Chandrapur College   ,West Bengal,Barddhaman
4084,Chatra Ramai Pandit Mahav ,West Bengal,Bankura
4085,Chhatna Chand ,West Bengal,Bankura
4086,"Chinsurah College of Education, Sugandhya   ",West Bengal,Hugli
4087,College of Art & Design   ,West Bengal,Barddhaman
4088,Cyber Research & Training Institute   ,West Bengal,Barddhaman
4089,Deshbandhu Mahav ,West Bengal,Barddhaman
4090,"Dinabandhu B. Ed. College, Paligram   ",West Bengal,Barddhaman
4091,"Dishari College of Education, Burdwan   ",West Bengal,Barddhaman
4092,Dr. Bhupendra Nath Dutta Smriti Mahav ,West Bengal,Barddhaman
4093,Dr. Gourmohan Roy College   ,West Bengal,Barddhaman
4094,DS M S College of Tourism and Management   ,West Bengal,Barddhaman
4095,"Durgapur B. Ed. College, B ",West Bengal,Barddhaman
4096,Durgapur College of Commerce & Science   ,West Bengal,Barddhaman
4097,Durgapur Government College   ,West Bengal,Barddhaman
4098,Durgapur Institute of Legal Studies   ,West Bengal,Barddhaman
4099,Durgapur Institute of Science & Technology   ,West Bengal,Barddhaman
4100,Durgapur Women's College   ,West Bengal,Barddhaman
4101,Ehiapur B. Ed. College   ,West Bengal,Barddhaman
4102,Elite B. Ed. College   ,West Bengal,Hugli
4103,Galsi Mahav ,West Bengal,Barddhaman
4104,Galsi Rabindra Nazrul College of Education   ,West Bengal,Barddhaman
4105,Gobindaprasad Mahav ,West Bengal,Bankura
4106,Government College of Education   ,West Bengal,Barddhaman
4107,Government Institution of Education  PG) for Women   ,West Bengal,Hugli
4108,Government Physical Education College for Women   ,West Bengal,Hugli
4109,Government Training College   ,West Bengal,Hugli
4110,Gushkara Mahav ,West Bengal,Barddhaman
4111,Hiralal Bhakat College   ,West Bengal,Birbhum
4112,"Hooghly B. C. Roy Institute, Boinchigram   ",West Bengal,Hugli
4113,Hooghly Mohsin College   ,West Bengal,Hugli
4114,Hooghly Women's College   ,West Bengal,Hugli
4115,Indas Mahav ,West Bengal,Bankura
4116,"Indrani Devi Institute of Education, Bhandarhati   ",West Bengal,Hugli
4117,Institute of Computer & Information Sciences   ,West Bengal,Bankura
4118,Jamalpur Mahav ,West Bengal,Barddhaman
4119,Jamini Roy College   ,West Bengal,Bankura
4120,Kabi Joydeb Mahav ,West Bengal,Birbhum
