id,college,state,district
96,"Govt. Degree College for Women, Guntur   ",Andhra Pradesh,Guntur
97,"Govt. Degree College, Kanigiri   ",Andhra Pradesh,Prakasam
98,"G.R.K Degree College, Maddipadu   ",Andhra Pradesh,Prakasam
99,G.R.R. & T.P.R. Degree College   ,Andhra Pradesh,Prakasam
100,G.S.R. Degree College   ,Andhra Pradesh,Guntur
101,G.V.& A.D.S.L. College of Education   ,Andhra Pradesh,Prakasam
102,G.V.R & S College of Education   ,Andhra Pradesh,Guntur
103,G V R & S Degree College for Women   ,Andhra Pradesh,Guntur
104,G.V.R.S Institute for Professional Studies   ,Andhra Pradesh,Guntur
105,G.V.S.M. GOVT. Degree College   ,Andhra Pradesh,Prakasam
106,Hazarath Ameeruddin College of Education   ,Andhra Pradesh,Prakasam
107,"Hindu College, Guntur   ",Andhra Pradesh,Guntur
108,Hindu College of Education   ,Andhra Pradesh,Guntur
109,"Hindu College of Management, Guntur   ",Andhra Pradesh,Guntur
110,Hindu College of Pharmacy   ,Andhra Pradesh,Guntur
111,H.M.K.S. & M.G.S. Memorial College of Education   ,Andhra Pradesh,Guntur
112, ,Andhra Pradesh,Prakasam
113,Indira Priyadarsni Law College   ,Andhra Pradesh,Prakasam
114,J.C. College of Law   ,Andhra Pradesh,Guntur
115,J.K.C. College   ,Andhra Pradesh,Guntur
116,J.M.J. College for Women   ,Andhra Pradesh,Guntur
117,J.R.R Navodaya Degree College   ,Andhra Pradesh,Guntur
118,Kalikamba College of Education   ,Andhra Pradesh,Prakasam
119,"Kalyani MCA College, Eethamukkala   ",Andhra Pradesh,Prakasam
120,Kamala College of Education   ,Andhra Pradesh,Prakasam
121,Kamala Institute of Management Studies   ,Andhra Pradesh,Prakasam
122,Kasturibai College of Education   ,Andhra Pradesh,Guntur
123,K Chandrakala College  P.G.)   ,Andhra Pradesh,Guntur
124,K.C Reddy Institute of Pharmaceutical Sciences   ,Andhra Pradesh,Guntur
125,"KC Reddy PG College, Janamguntapalem   ",Andhra Pradesh,Guntur
126,K.L.N. Sanskrit College   ,Andhra Pradesh,Guntur
127,K.L.R. Degree College   ,Andhra Pradesh,Prakasam
128,Konijeti Rosaiah Siva Lakshmi College   ,Andhra Pradesh,Guntur
129,Krishnaveni Degree College   ,Andhra Pradesh,Guntur
130,"Krishnaveni Degree College, Vinukonda   ",Andhra Pradesh,Guntur
131,K R K Govt. Degree College   ,Andhra Pradesh,Prakasam
132,K.S.R & K.R.K College of Education   ,Andhra Pradesh,Guntur
133,"K.S.R.N. Degree College, Govada   ",Andhra Pradesh,Guntur
134,"K.V.R., K.VR. & M.K.R College   ",Andhra Pradesh,Guntur
135,Lakshmi Narsimha College of Education   ,Andhra Pradesh,Guntur
136,Magunta Subba Rami Reddy Degree College   ,Andhra Pradesh,Prakasam
137,Mahatma Gandhi College   ,Andhra Pradesh,Guntur
138,Malineni Lakshmaiah B.Ed College   ,Andhra Pradesh,Prakasam
139,M.A.M College of Education   ,Andhra Pradesh,Guntur
140,"M.A.M College of Pharmacy, Narsaraopet   ",Andhra Pradesh,Guntur
141,Matrusri Oriental College   ,Andhra Pradesh,Guntur
142,M.G College of Education   ,Andhra Pradesh,Prakasam
143,"Mittapalli Lakshmaiah & Sons Degree College, P ",Andhra Pradesh,Guntur
144,M.L. College of MBA   ,Andhra Pradesh,Prakasam
145,M.L. College of Pharmacy   ,Andhra Pradesh,Prakasam
146,"M.M.R Degree College, Macherla   ",Andhra Pradesh,Guntur
147,Modern Degree College   ,Andhra Pradesh,Guntur
148,Morning Star College   ,Andhra Pradesh,Guntur
149,"Mother Theresa Womens Degree College, Karampudi   ",Andhra Pradesh,Guntur
150,"M.S.R. Degree College, Bapatla   ",Andhra Pradesh,Guntur
151,M.V.G.R. Degree College   ,Andhra Pradesh,Guntur
152,"M.V.R Degree College, Karlapalem   ",Andhra Pradesh,Guntur
153,M.V.R.S. Viveka Degree College   ,Andhra Pradesh,Guntur
154,Nagarjuna College of Education   ,Andhra Pradesh,Guntur
155,"Nagarjuna Institute of Management Studies, Chekurapadu   ",Andhra Pradesh,Prakasam
156,Nalanda College of Education   ,Andhra Pradesh,Guntur
157,National Minority Degree College   ,Andhra Pradesh,Prakasam
158,Navya Chaitanya College of Education   ,Andhra Pradesh,Prakasam
159,N.B.T & N V C College   ,Andhra Pradesh,Guntur
160,New Era College of Education   ,Andhra Pradesh,Guntur
161,"Nirmala College of Pharmacy, Mangalagiri   ",Andhra Pradesh,Guntur
162,N.N.R. & C.L. Degree College   ,Andhra Pradesh,Prakasam
163,N.N.S. V ,Andhra Pradesh,Prakasam
164,N.N.S V ,Andhra Pradesh,Prakasam
165,N.R.K & K.S.R Gupta College of Pharmacy   ,Andhra Pradesh,Guntur
166,N.R.K. & K.S.R. Gupta Degree College   ,Andhra Pradesh,Guntur
167,N.T.R Memorial Degree College   ,Andhra Pradesh,Prakasam
168,Omega College of Education   ,Andhra Pradesh,Prakasam
169,"Palnadu College of Education, Narayanapuram   ",Andhra Pradesh,Guntur
170,P.B.N. College   ,Andhra Pradesh,Guntur
171,Pedanandipadu College of Arts and Sciences   ,Andhra Pradesh,Guntur
172,P.N.C.A Degree College   ,Andhra Pradesh,Prakasam
173,P.N.C & K.R. College   ,Andhra Pradesh,Guntur
174,Prabhala Lakshminarayana Memorial Degree College   ,Andhra Pradesh,Guntur
175,"Prabhala PG College for Women, Nagarjuna Nagar   ",Andhra Pradesh,Guntur
176,Pratap College of Education   ,Andhra Pradesh,Prakasam
177,Prathiba Degree College   ,Andhra Pradesh,Prakasam
178,"Pratibha Degree College, Pedanandipadu   ",Andhra Pradesh,Guntur
179,Priya Darisini Degree College   ,Andhra Pradesh,Guntur
180,Priyadarsini Institute of Pharmaceutical Science   ,Andhra Pradesh,Guntur
181,Priyanka College of Education   ,Andhra Pradesh,Prakasam
182,P.S.B. College of Education   ,Andhra Pradesh,Prakasam
183,Qis College of Education   ,Andhra Pradesh,Prakasam
184,"Radha Degree College, Vinukonda   ",Andhra Pradesh,Guntur
185,Raghava Degree College - Ongole   ,Andhra Pradesh,Prakasam
186,Rahul Institute of Pharmaceutical Sciences & Research   ,Andhra Pradesh,Prakasam
187,"Rahul Subramanyam Memorial Instt of Management Studies, Chirala   ",Andhra Pradesh,Prakasam
188,Ravindra Bharathi College of Education   ,Andhra Pradesh,Prakasam
189,Repalle Christian College   ,Andhra Pradesh,Guntur
190,Repalle Christian College of Education   ,Andhra Pradesh,Guntur
191,R.V.R. & J.C. College of Engineering   ,Andhra Pradesh,Guntur
192,R.V.R.R. College of Education   ,Andhra Pradesh,Guntur
193,R.V.V.N. College   ,Andhra Pradesh,Guntur
194,S.A.B.R. Govt. Degree College   ,Andhra Pradesh,Guntur
195,Sadhana Degree College   ,Andhra Pradesh,Guntur
196,Sadineni Chowdaraiah College of Arts & Science   ,Andhra Pradesh,Guntur
197,Sai Chaitanya Degree College G ,Andhra Pradesh,Prakasam
198,Sarada College of Pharmaceutical Sciences   ,Andhra Pradesh,Guntur
199,"Sarada Degree College, Medarametla   ",Andhra Pradesh,Prakasam
200,"Saraswathi College of Arts & Science, Dachepalli   ",Andhra Pradesh,Guntur
201,"S.B.G. Degree College, Sattenapalli   ",Andhra Pradesh,Guntur
202,S.B.M.S. Degree College   ,Andhra Pradesh,Guntur
203,S.B.Swamy Sanskrit College   ,Andhra Pradesh,Guntur
204,"S.B.V.S.R College of Education, Cheemakurthi   ",Andhra Pradesh,Prakasam
205,Seven Hills College of Education   ,Andhra Pradesh,Guntur
206,S.G.H.R. & M.C.M.R.College   ,Andhra Pradesh,Guntur
207,"S.G.K Govt. Degree College, Vinukonda   ",Andhra Pradesh,Guntur
208,S.G.K. Oriental College   ,Andhra Pradesh,Guntur
209,S.G.T. & J.V.B.College   ,Andhra Pradesh,Guntur
210,S.G.V. Oriental College   ,Andhra Pradesh,Prakasam
211,"Shams-Ul_Uloom College of Education, Markapur   ",Andhra Pradesh,Prakasam
212,"Shams-Ul-Uloom College of Education, Podili   ",Andhra Pradesh,Prakasam
213,Shivani Degree College   ,Andhra Pradesh,Guntur
214,S ,Andhra Pradesh,Guntur
215,SIMS College of Education   ,Andhra Pradesh,Guntur
216,"SIMS College of Life Sciences, Guntur   ",Andhra Pradesh,Guntur
217,SIMS College of Pharmacy   ,Andhra Pradesh,Guntur
218,S.K.B.R. Govt. College   ,Andhra Pradesh,Guntur
219,S.K.R.B.R. College   ,Andhra Pradesh,Guntur
220,S.K.S.V. Degree College for Women   ,Andhra Pradesh,Guntur
221,S.L.V. College of Education   ,Andhra Pradesh,Prakasam
222,S.M.P.A. Degree College   ,Andhra Pradesh,Guntur
223,SMS & SMCMR College of Education   ,Andhra Pradesh,Guntur
224,"Smt. Koonapareddy Prameela Rani Degree College, Parchoor   ",Andhra Pradesh,Prakasam
225,Smt. Sanagala Prameela Degree College   ,Andhra Pradesh,Guntur
226,S M Y College of Education   ,Andhra Pradesh,Prakasam
227,S.N.B.T. Degree College for Women   ,Andhra Pradesh,Guntur
228,S.N.B.T.M. College of Education   ,Andhra Pradesh,Guntur
229,Sri Chaitanya College of Education   ,Andhra Pradesh,Prakasam
230,Sri C.V. Raman College of Computer Science   ,Andhra Pradesh,Prakasam
231,Sri Gayatri V ,Andhra Pradesh,Prakasam
232,"Sri Gowtham College of Education, Darsi   ",Andhra Pradesh,Prakasam
233,"Sri Gowtham Degree College, Kandulapuram   ",Andhra Pradesh,Prakasam
234,"Sri Gowthami Degree College, Darsi   ",Andhra Pradesh,Prakasam
235,"Sri Harsha's Womens Degree College, Cumbum   ",Andhra Pradesh,Prakasam
236,"Sri Harshini Degree College, Martur   ",Andhra Pradesh,Prakasam
237,"Sri Harshini Degree College, Ongole   ",Andhra Pradesh,Prakasam
238,"Sri Jeevana Jyothi Degree College, G ",Andhra Pradesh,Prakasam
239,Sriji Degree College   ,Andhra Pradesh,Prakasam
240,"Sri Kakatiya Degree College, Predakurapadu   ",Andhra Pradesh,Guntur
241,Sri Kandula Obula Reddy Degree College   ,Andhra Pradesh,Prakasam
242,Sri Karthikeya Degree College - Guntur   ,Andhra Pradesh,Guntur
243,Sri Mahaveer Memorial Jain Degree College   ,Andhra Pradesh,Guntur
244,Sri Majeti Guravaiah Degree College   ,Andhra Pradesh,Guntur
245,Sri Nagarjuna Degree College   ,Andhra Pradesh,Prakasam
246,Sri Potti Sriramulu Degree College   ,Andhra Pradesh,Prakasam
247,Sri Prasannanjaneya Degree College   ,Andhra Pradesh,Prakasam
248,Sri Prath ,Andhra Pradesh,Prakasam
249,"Sri Pratibha Degree College, Ongole   ",Andhra Pradesh,Prakasam
250,"Sri Raja Rajeswari College of Education, G ",Andhra Pradesh,Prakasam
251,Sri Rama Krishna Degree College   ,Andhra Pradesh,Prakasam
252,"Sri Sadhana Degree College, Markapur   ",Andhra Pradesh,Prakasam
253,Sri Sai Degree College   ,Andhra Pradesh,Guntur
254,"Sri Sai Degree College, Repalle   ",Andhra Pradesh,Guntur
255,Sri Sarada Niketanam Oriental College   ,Andhra Pradesh,Guntur
256,Sri S ,Andhra Pradesh,Prakasam
257,Sri Tatiparthi Venkata Reddy Memorial College of Education   ,Andhra Pradesh,Prakasam
258,Sri Vasavi Kanyaka Parameswari Degree College   ,Andhra Pradesh,Guntur
259,Sri Venkateswara Balakuteer College of Education   ,Andhra Pradesh,Guntur
260,Sri Venkateswara College of Education   ,Andhra Pradesh,Guntur
261,"Sri Venkateswara College of Education, Darsi   ",Andhra Pradesh,Prakasam
262,Sri Venkateswara Degree College   ,Andhra Pradesh,Guntur
263,"Sri Venkateswara Degree College, Guntur   ",Andhra Pradesh,Guntur
264,"Sri Venkateswara Degree College, Nakirekallu   ",Andhra Pradesh,Guntur
265,Sri Venkateswara & Sri Satyadev Degree College   ,Andhra Pradesh,Guntur
266,"Sri Vivekananda Degree College, Podili   ",Andhra Pradesh,Prakasam
267,S.S. Arts & Science College   ,Andhra Pradesh,Prakasam
268,S.S. & N. College   ,Andhra Pradesh,Guntur
269,S.S.N. Degree College   ,Andhra Pradesh,Prakasam
270,"S.S.N Degree College, Podili   ",Andhra Pradesh,Prakasam
271,St. Anns College for Women   ,Andhra Pradesh,Guntur
272,St. Ignatious Degree College   ,Andhra Pradesh,Guntur
273,St. John College of Education   ,Andhra Pradesh,Prakasam
274,St. Joseph's College of Education for Women   ,Andhra Pradesh,Guntur
275,St Mark NTR College of Education   ,Andhra Pradesh,Guntur
276,"St Mary's B.Ed College, Podili   ",Andhra Pradesh,Prakasam
277,St. Paul's College of Education   ,Andhra Pradesh,Prakasam
278,St. Peter & G. Krishna College of Education   ,Andhra Pradesh,Guntur
279,"St. Theressa Degree College - Hotel Management, Tenali   ",Andhra Pradesh,Guntur
280,St. Xavier Institute of Pharmacy   ,Andhra Pradesh,Guntur
281,S.V. Arts & Science College   ,Andhra Pradesh,Prakasam
282,"S.V.B.S Degree College, Komarole   ",Andhra Pradesh,Prakasam
283,"S.V.K.P. Arts, Science & Commerce College   ",Andhra Pradesh,Prakasam
284,S.V.K.P. College   ,Andhra Pradesh,Prakasam
285,S.V.K.P. Degree College   ,Andhra Pradesh,Prakasam
286,"S.V.K.P P.G College, Cumbum   ",Andhra Pradesh,Prakasam
287,S.V.R.M. College   ,Andhra Pradesh,Guntur
288,"Sweekaar College of Special Education  M.R), Guntur   ",Andhra Pradesh,Guntur
289,"Sweekaar Degree College, Guntur   ",Andhra Pradesh,Guntur
290,Tarlapadu College of Education   ,Andhra Pradesh,Prakasam
291,TCMT College   ,Andhra Pradesh,Prakasam
292,Thotakura RamaKotaiah College of Education   ,Andhra Pradesh,Guntur
293,"Tiyyagura Sitarami Reddy Degree College, P ",Andhra Pradesh,Guntur
294,T.J.P.S. College   ,Andhra Pradesh,Guntur
295,T.R.R. Govt. Degree College   ,Andhra Pradesh,Prakasam
296,T.R.R. & S. Degree College   ,Andhra Pradesh,Guntur
297,"University COllege of Arts, Commerce and Law   ",Andhra Pradesh,Guntur
298,University College of Engineering & Technology   ,Andhra Pradesh,Guntur
299,University College of Pharmaceutical Sciences   ,Andhra Pradesh,Guntur
300,University College of Physical Education and Sports Sciences   ,Andhra Pradesh,Guntur
301,University Collge of Architecture & Planning   ,Andhra Pradesh,Guntur
302,University Collge of Sciences   ,Andhra Pradesh,Guntur
303,"Vagdevi College of Pharmacy, Gurazala   ",Andhra Pradesh,Guntur
304,"Vagdevi Degree College, Rentachintala   ",Andhra Pradesh,Guntur
305,Vasavi Degree College for Women   ,Andhra Pradesh,Guntur
306,"Vasavi MBA & MCA College, Kandulapuram   ",Andhra Pradesh,Prakasam
307,Vellanki College of Education   ,Andhra Pradesh,Guntur
308,Venigalla Jayasri Ram College   ,Andhra Pradesh,Guntur
309,"Venkateswara College of Eduation, Besthavaripeta   ",Andhra Pradesh,Prakasam
310,"Victoria College of Pharmacy, Nallapadu   ",Andhra Pradesh,Guntur
311,V ,Andhra Pradesh,Guntur
312,"Vignan Degree College, Chemakurthi   ",Andhra Pradesh,Prakasam
313,"Vignan Degree College, Guntur   ",Andhra Pradesh,Guntur
314,"Vijaya Jyothi Degree College, Mangalagiri   ",Andhra Pradesh,Guntur
315,Vijayateja Degree College   ,Andhra Pradesh,Prakasam
316,"Vikas Degree College, Macherla   ",Andhra Pradesh,Guntur
317,Vinukonda B.Ed. College   ,Andhra Pradesh,Guntur
318,Vision Institute of Sciences & Technology   ,Andhra Pradesh,Guntur
319,Viveka Arts & Science Degree College   ,Andhra Pradesh,Prakasam
320,"Viveka College of Education, Vaddesangam   ",Andhra Pradesh,Prakasam
321,"Vivekananda College of Education, Kandukur   ",Andhra Pradesh,Prakasam
322,"VJ&BL Degree College, Mangalagiri   ",Andhra Pradesh,Guntur
323,V.R.S. & Y.R.N. College   ,Andhra Pradesh,Prakasam
324,V.S.R. & A.M. Degree College   ,Andhra Pradesh,Prakasam
325,V.S.R. & N.V.R. College   ,Andhra Pradesh,Guntur
326,V.T.J.M. & I.V.T.R. Degree College   ,Andhra Pradesh,Guntur
327,V.V. & M. College   ,Andhra Pradesh,Prakasam
328,Vyshnavi College of Education   ,Andhra Pradesh,Guntur
329,"Vyshnavi Degree College, Thripurantakam   ",Andhra Pradesh,Prakasam
330,Y.A. Govt. College for Women   ,Andhra Pradesh,Prakasam
331,"Yaswanth College of Education,Bestavaripeta   ",Andhra Pradesh,Prakasam
332,"Agricultultural College, Bapatla   ",Andhra Pradesh,Guntur
333,"Agricultural College, Aswaraopet   ",Telangana,Khammam
334,"Agricultural College, Jagtial   ",Telangana,Karimnagar
335,"Agricultural College, Mahanandi   ",Andhra Pradesh,Kurnool
336,"Agricultural College, Naira   ",Andhra Pradesh,Srikakulam
337,"Agricultural College, Rajahmundry   ",Andhra Pradesh,East Godavari
338,"Collage of Agriculture, Rajendranagar   ",Telangana,Rangareddy
339,"College of Agricultural Engineering, Bapatla   ",Andhra Pradesh,Guntur
340,"College of Agricultural Engineering, Madakasira   ",Andhra Pradesh,Anantapur
341,"College of Food Science and Technology, Bapatla   ",Andhra Pradesh,Guntur
342,"College of Food Science and Technology, Pulivendula   ",Andhra Pradesh,Y.S.R.
343,"College of Home Science, Hyderabad   ",Telangana,Hyderabad
344,"S.V. Agricultural College, Tirupathi   ",Andhra Pradesh,Chittoor
345,"Adesh Institute of Dental Sciences & Research, Baranala Road, Bathinda   ",Punjab,Bathinda
346,"Adesh Institute of Medical Sciences & Research, Barnala Road   ",Punjab,Bathinda
347,"Adesh Institute of Pharmacy & Biomedical Sciences, Bathinda   ",Punjab,Bathinda
348,"College of Nursing, Adesh Institute of Medical Sciences & Research, Bathinda   ",Punjab,Bathinda
349,"College of Physiotherapy, Adesh Institute of Medical Sciences & Research, Bathinda   ",Punjab,Bathinda
350,ABHYUDAYA DEGREE COLLEGE   ,Andhra Pradesh,West Godavari
351,Adarsa Degree College   ,Andhra Pradesh,East Godavari
352,"Aditya Degree College, Cinema Road, Tatipaka   ",Andhra Pradesh,East Godavari
353,"Aditya Degree College for Women, Rajahmundry   ",Andhra Pradesh,East Godavari
354,"Aditya Degree College for Women, Santinagar, Kakinada   ",Andhra Pradesh,East Godavari
355,"ADITYA DEGREE COLLEGE, PALAKOL   ",Andhra Pradesh,West Godavari
356,"Aditya Degree College, Santinagar, Kakinada   ",Andhra Pradesh,East Godavari
357,"Aditya Degree College, Thadithota, Rajahmundry, EG Dist   ",Andhra Pradesh,East Godavari
358,A.K.R.G. College   ,Andhra Pradesh,West Godavari
359,A.K.R.G. DEGREE COLLEGE   ,Andhra Pradesh,West Godavari
360,AKULA GOPAIAH DEGREE COLLEGE   ,Andhra Pradesh,West Godavari
361,Al Ameer Institute of Management & Tech   ,Andhra Pradesh,East Godavari
362,Amrutha Arts & Science Degree College   ,Andhra Pradesh,East Godavari
363,Andhra Kesari Degree College   ,Andhra Pradesh,East Godavari
364,Andhra Womens Sanskrit College   ,Andhra Pradesh,East Godavari
365,ANNAPURNA DEGREE COLLEGE   ,Andhra Pradesh,West Godavari
366,"A.S.Govt.Degree College for Women, Kakinada   ",Andhra Pradesh,East Godavari
367,A.S.N.Degree College for Women   ,Andhra Pradesh,East Godavari
368,A.S.N.M. GOVT. DEGREE COLLEGE FOR MEN   ,Andhra Pradesh,West Godavari
369,A.S.R. DEGREE COLLEGE   ,Andhra Pradesh,West Godavari
370,"Avanthi Degree College, E.G Dist.   ",Andhra Pradesh,East Godavari
371,A.V.R. and V.P.R. Degree College   ,Andhra Pradesh,East Godavari
372,B.G.B.S. COLLEGE FOR WOMEN   ,Andhra Pradesh,West Godavari
373,Bh.S.R. & V.L.M. DEGREE COLLEGE   ,Andhra Pradesh,West Godavari
374,BRILLIANTS DEGREE COLLEGE   ,Andhra Pradesh,West Godavari
375,B.R.R. & G.K.R. CHAMBERS DEGREE COLLEGE   ,Andhra Pradesh,West Godavari
376,B.S.R. Degree College   ,Andhra Pradesh,East Godavari
377,C.B.R.Degree College   ,Andhra Pradesh,East Godavari
378,Chaitanya College of Education   ,Andhra Pradesh,Visakhapatnam
379,Chaitanya Degree College   ,Andhra Pradesh,East Godavari
380,"Chaitanya Degree College, Sivakodu   ",Andhra Pradesh,East Godavari
381,CHALLA SATYANARAYANA SARMA DEGREE COLLEGE   ,Andhra Pradesh,West Godavari
382,Ch.S.D. St. THERESAS  A) COLLEGE FOR WOMEN   ,Andhra Pradesh,West Godavari
383,Ch. S.D. St. Theresas College for Women   ,Andhra Pradesh,West Godavari
384,CH.V.P.M.R. GOVT. DEGREE COLLEGE   ,Andhra Pradesh,West Godavari
385,C.N.R. Degree College   ,Andhra Pradesh,East Godavari
386,C.S.T.S. GOVT. KALASALA   ,Andhra Pradesh,West Godavari
387,"Deepthi Degree College, Mam ",Andhra Pradesh,East Godavari
388,D.L.R.Degree College   ,Andhra Pradesh,East Godavari
389,D.N.R.  A) COLLEGE   ,Andhra Pradesh,West Godavari
390,D.N.R. GOVT. DEGREE COLLEGE FOR WOMEN   ,Andhra Pradesh,West Godavari
391,Dr.B.R.Ambedkar Degree college   ,Andhra Pradesh,East Godavari
